SECURITY_DES,BB_COMPOSITE,PX_LAST,CPN,LONG_COMP_NAME,MATURITY,CRNCY,CNV_PREM,DELTA,YLD_YTM_MID,CNTRY_OF_RISK,AMT_OUTSTANDING,CONVERTIBLE,SRCH_ASSET_CLASS
Bond_549,BB,109.92,2.09,Issuer_A,2033-01-20,JPY,76.46,0.06,2.89,JP,106000000,N,Corporates
Bond_550,A,102.05,1.09,Issuer_B,2028-11-08,GBP,58.92,0.41,1.94,JP,22000000,N,Governments
Bond_551,BBB,92.84,4.62,Issuer_C,2035-07-20,JPY,6.26,0.87,4.32,JP,165000000,Y,Corporates
Bond_552,BBB,103.03,2.13,Issuer_C,2028-06-07,GBP,8.17,0.62,4.93,US,341000000,N,Governments
Bond_553,B,92.88,1.31,Issuer_C,2031-07-05,JPY,44.85,0.85,1.42,GB,901000000,Y,Corporates
Bond_554,B,108.36,2.29,Issuer_A,2035-07-02,USD,81.29,0.67,2.12,DE,37000000,Y,Corporates
Bond_555,BB,108.0,2.48,Issuer_C,2026-01-02,EUR,91.26,0.82,4.9,GB,148000000,Y,Corporates
Bond_556,CCC,94.83,3.18,Issuer_D,2026-03-25,GBP,96.89,0.07,1.04,US,658000000,Y,Corporates
Bond_557,AAA,90.72,4.63,Issuer_D,2033-09-02,USD,28.76,0.45,0.81,JP,114000000,N,Governments
Bond_558,CCC,103.48,4.78,Issuer_D,2034-08-19,GBP,77.57,0.04,4.7,GB,148000000,N,Corporates
Bond_561,BBB,96.81,2.4,Issuer_C,2035-01-04,JPY,30.01,0.06,2.33,DE,293000000,Y,Corporates
Bond_563,BBB,102.47,4.51,Issuer_A,2029-05-24,GBP,76.69,0.13,2.45,DE,648000000,Y,Corporates
Bond_565,BB,103.45,1.31,Issuer_C,2035-02-10,JPY,11.58,0.59,0.2,JP,435000000,N,Corporates
Bond_566,A,91.06,3.6,Issuer_C,2035-11-13,JPY,30.36,0.06,2.95,FR,951000000,N,Corporates
Bond_567,A,104.37,0.09,Issuer_D,2034-04-25,GBP,99.17,0.65,4.14,US,425000000,N,Governments
Bond_568,BBB,98.98,4.16,Issuer_A,2032-07-18,JPY,48.9,0.15,1.39,FR,730000000,Y,Corporates
Bond_569,BBB,91.96,3.34,Issuer_D,2026-01-02,JPY,40.9,0.71,1.08,US,808000000,N,Governments
Bond_570,BB,98.8,4.81,Issuer_A,2027-11-10,GBP,79.38,0.69,4.88,DE,855000000,Y,Corporates
Bond_571,A,105.72,0.22,Issuer_C,2032-11-20,USD,46.47,0.96,2.92,FR,42000000,N,Corporates
Bond_572,A,108.39,0.48,Issuer_A,2030-02-08,EUR,49.43,0.44,0.62,FR,838000000,N,Governments
Bond_573,B,107.61,4.18,Issuer_B,2030-01-14,GBP,90.26,0.78,4.06,DE,936000000,N,Corporates
Bond_574,B,101.46,1.8,Issuer_C,2031-11-28,JPY,23.82,0.87,0.55,GB,352000000,Y,Corporates
Bond_575,A,103.72,4.8,Issuer_B,2027-09-02,JPY,51.09,0.34,3.83,FR,285000000,N,Governments
Bond_576,BBB,105.63,1.1,Issuer_D,2034-05-26,GBP,95.66,0.41,2.55,US,409000000,Y,Corporates
Bond_577,BB,94.39,3.48,Issuer_A,2034-08-25,USD,76.89,0.17,2.58,JP,902000000,Y,Corporates
Bond_578,BB,103.84,1.23,Issuer_A,2032-01-21,GBP,79.25,0.34,4.79,GB,598000000,N,Corporates
Bond_581,AA,99.13,4.16,Issuer_C,2026-06-21,USD,35.82,0.71,3.51,DE,298000000,Y,Corporates
Bond_582,BBB,108.11,3.45,Issuer_B,2029-08-27,JPY,7.59,0.88,3.8,GB,328000000,N,Corporates
Bond_583,A,100.48,3.06,Issuer_B,2028-12-21,JPY,76.44,0.64,1.22,GB,185000000,Y,Corporates
Bond_584,B,91.01,4.57,Issuer_B,2026-01-03,USD,14.43,0.0,1.73,FR,642000000,Y,Corporates
Bond_585,BB,101.88,2.47,Issuer_C,2031-03-03,GBP,71.57,0.41,2.6,GB,472000000,Y,Corporates
Bond_587,B,104.82,2.02,Issuer_A,2035-11-05,GBP,57.39,0.49,4.17,GB,924000000,N,Corporates
Bond_588,BB,91.81,0.91,Issuer_C,2029-03-19,EUR,18.46,0.44,2.71,DE,31000000,N,Governments
Bond_589,AA,108.09,1.08,Issuer_A,2031-09-09,GBP,60.31,0.18,1.25,GB,784000000,N,Corporates
Bond_590,AAA,93.19,0.99,Issuer_D,2034-05-03,GBP,36.1,0.28,1.38,US,187000000,Y,Corporates
Bond_591,BBB,100.15,0.85,Issuer_D,2029-08-03,EUR,99.3,0.44,1.43,FR,720000000,Y,Corporates
Bond_592,AAA,106.47,1.88,Issuer_C,2035-11-13,USD,85.88,0.35,2.61,US,489000000,N,Governments
Bond_593,BB,93.45,1.18,Issuer_A,2035-04-09,JPY,3.81,0.92,0.91,DE,48000000,Y,Corporates
Bond_595,CCC,109.7,2.09,Issuer_A,2029-11-19,EUR,55.62,0.34,0.25,JP,675000000,Y,Corporates
Bond_596,A,101.65,0.37,Issuer_B,2032-10-15,USD,95.55,0.74,4.15,JP,42000000,N,Governments
Bond_598,A,98.8,4.5,Issuer_D,2032-07-11,JPY,48.45,0.41,3.03,FR,48000000,Y,Corporates
Bond_599,CCC,94.74,1.04,Issuer_A,2034-02-26,GBP,73.98,0.91,3.99,DE,324000000,N,Governments
Bond_600,BBB,95.79,3.55,Issuer_D,2030-09-19,EUR,78.35,0.28,2.53,FR,947000000,N,Governments
Bond_601,BBB,107.17,3.47,Issuer_D,2029-01-25,JPY,42.11,0.63,2.39,GB,261000000,N,Corporates
Bond_602,AA,91.11,4.78,Issuer_C,2025-09-22,GBP,27.51,0.96,0.75,JP,470000000,N,Corporates
Bond_603,AA,94.05,0.89,Issuer_A,2028-04-14,EUR,6.87,0.21,4.31,GB,987000000,N,Corporates
Bond_604,BBB,91.69,3.52,Issuer_C,2033-12-01,GBP,64.3,0.78,3.2,GB,70000000,Y,Corporates
Bond_605,B,98.3,2.5,Issuer_B,2026-10-13,EUR,88.95,0.18,3.98,GB,919000000,N,Corporates
Bond_606,CCC,101.65,3.93,Issuer_C,2034-03-11,USD,14.21,0.73,4.65,US,256000000,N,Governments
Bond_607,AAA,91.03,1.71,Issuer_D,2028-05-25,EUR,97.02,0.72,2.69,DE,224000000,Y,Corporates
Bond_608,B,95.3,1.54,Issuer_B,2027-01-23,USD,50.31,0.15,1.98,GB,842000000,Y,Corporates
Bond_609,A,106.65,0.99,Issuer_A,2030-08-19,JPY,51.53,0.19,4.11,US,640000000,N,Governments
Bond_610,B,104.01,0.43,Issuer_A,2032-05-22,EUR,62.88,0.23,0.98,FR,667000000,Y,Corporates
Bond_611,BBB,103.25,1.07,Issuer_A,2029-08-05,GBP,5.05,0.78,3.65,FR,689000000,Y,Corporates
Bond_612,BB,90.17,4.33,Issuer_C,2025-02-26,USD,3.21,0.23,2.35,DE,57000000,Y,Corporates
Bond_613,B,90.54,3.53,Issuer_C,2030-10-14,GBP,50.43,0.51,3.05,US,649000000,N,Corporates
Bond_615,AA,103.82,3.77,Issuer_A,2025-06-05,EUR,5.24,0.71,0.5,DE,929000000,Y,Corporates
Bond_616,A,109.69,2.97,Issuer_B,2028-02-23,USD,43.72,0.56,3.03,JP,703000000,Y,Corporates
Bond_617,AA,90.07,0.31,Issuer_C,2032-04-24,JPY,45.67,0.2,1.66,JP,882000000,N,Corporates
Bond_618,CCC,104.42,2.54,Issuer_B,2033-09-17,USD,22.43,0.38,4.43,DE,617000000,Y,Corporates
Bond_619,BBB,90.01,2.69,Issuer_A,2028-06-21,EUR,37.7,0.18,1.71,GB,631000000,Y,Corporates
Bond_620,BBB,102.42,4.9,Issuer_C,2035-12-15,JPY,51.63,0.71,1.44,JP,137000000,N,Corporates
Bond_621,BB,95.81,4.76,Issuer_A,2030-10-06,EUR,95.46,0.25,4.5,US,444000000,Y,Corporates
Bond_622,B,105.49,1.76,Issuer_D,2035-12-14,EUR,4.44,0.24,2.22,GB,967000000,N,Governments
Bond_623,AA,105.33,0.31,Issuer_C,2033-06-14,USD,65.62,0.42,2.92,US,935000000,Y,Corporates
Bond_624,B,100.89,0.55,Issuer_C,2033-03-06,GBP,46.59,0.16,3.04,GB,227000000,Y,Corporates
Bond_625,BB,98.7,4.95,Issuer_B,2029-07-22,EUR,41.5,0.66,0.7,JP,442000000,Y,Corporates
Bond_626,B,94.92,3.89,Issuer_C,2031-01-10,JPY,6.31,0.49,3.66,FR,303000000,Y,Corporates
Bond_627,A,108.03,4.28,Issuer_C,2033-02-09,GBP,4.33,0.97,1.73,JP,930000000,Y,Corporates
Bond_628,BB,102.55,1.93,Issuer_C,2032-09-09,GBP,87.51,0.74,3.96,GB,931000000,N,Corporates
Bond_629,BBB,92.67,0.72,Issuer_A,2034-12-17,JPY,43.52,0.35,3.69,JP,717000000,Y,Corporates
Bond_631,AAA,106.9,0.2,Issuer_A,2026-01-27,GBP,1.13,0.5,2.68,US,873000000,N,Governments
Bond_632,A,102.08,3.25,Issuer_D,2032-12-03,EUR,64.89,0.75,0.11,US,543000000,Y,Corporates
Bond_633,BB,99.61,4.76,Issuer_B,2033-10-22,USD,44.95,0.59,2.1,FR,571000000,Y,Corporates
Bond_634,A,109.57,4.27,Issuer_C,2033-04-21,JPY,51.53,0.27,1.63,GB,558000000,Y,Corporates
Bond_635,B,97.52,0.96,Issuer_B,2032-11-18,EUR,75.76,0.5,0.32,FR,473000000,Y,Corporates
Bond_636,B,93.17,4.49,Issuer_D,2026-07-17,EUR,11.61,0.26,1.62,DE,736000000,Y,Corporates
Bond_638,AAA,96.23,4.18,Issuer_C,2034-11-11,EUR,23.3,0.18,0.08,DE,559000000,Y,Corporates
Bond_640,BB,106.2,2.04,Issuer_D,2033-01-18,EUR,89.45,0.29,2.61,FR,903000000,N,Corporates
Bond_641,CCC,90.82,3.91,Issuer_A,2034-08-13,JPY,70.18,0.03,2.52,GB,467000000,Y,Corporates
Bond_643,BB,98.31,3.29,Issuer_A,2027-12-22,GBP,17.39,0.06,1.57,US,212000000,Y,Corporates
Bond_644,CCC,103.27,0.48,Issuer_B,2030-10-19,JPY,2.39,0.26,0.23,US,251000000,Y,Corporates
Bond_645,CCC,93.3,2.26,Issuer_B,2034-11-05,EUR,26.7,0.48,0.96,JP,301000000,N,Corporates
Bond_646,A,95.24,3.56,Issuer_C,2030-10-25,JPY,16.13,0.57,4.12,JP,30000000,Y,Corporates
Bond_647,AA,104.95,3.06,Issuer_D,2031-07-04,USD,47.16,0.96,0.15,DE,382000000,N,Corporates
Bond_649,BBB,103.51,2.18,Issuer_D,2027-05-17,GBP,65.33,0.24,0.16,GB,229000000,N,Corporates
Bond_650,A,92.08,4.2,Issuer_B,2032-01-16,EUR,41.63,0.97,1.92,DE,569000000,Y,Corporates
Bond_651,AA,93.41,4.19,Issuer_C,2030-06-01,GBP,71.59,0.99,4.73,JP,757000000,N,Governments
Bond_652,CCC,108.02,4.54,Issuer_C,2027-11-26,EUR,0.83,0.32,3.91,US,129000000,N,Corporates
Bond_653,BB,96.78,4.67,Issuer_C,2026-03-22,JPY,8.08,0.82,0.64,JP,321000000,N,Governments
Bond_654,A,90.13,1.51,Issuer_B,2025-07-12,EUR,15.76,0.59,4.62,FR,142000000,Y,Corporates
Bond_655,CCC,93.08,3.85,Issuer_C,2031-10-27,EUR,83.48,0.28,1.33,US,151000000,Y,Corporates
Bond_656,AA,96.79,2.01,Issuer_C,2030-01-01,JPY,88.19,0.37,0.6,JP,222000000,Y,Corporates
Bond_657,B,100.7,3.85,Issuer_A,2035-07-01,USD,59.33,0.54,4.4,GB,264000000,Y,Corporates
Bond_658,BBB,94.12,3.32,Issuer_A,2025-09-09,EUR,95.51,0.57,3.44,US,302000000,N,Corporates
Bond_659,AA,105.56,3.18,Issuer_C,2035-03-26,USD,72.27,0.5,1.16,GB,836000000,Y,Corporates
Bond_660,AAA,103.92,2.89,Issuer_D,2029-03-10,EUR,57.85,0.32,2.71,DE,612000000,Y,Corporates
Bond_662,BB,105.48,1.99,Issuer_D,2033-02-14,GBP,23.29,0.29,3.92,US,567000000,Y,Corporates
Bond_663,BBB,93.27,3.45,Issuer_A,2025-04-13,USD,35.57,0.95,1.68,JP,363000000,Y,Corporates
Bond_664,A,100.94,1.55,Issuer_C,2032-12-03,JPY,4.48,0.63,1.75,GB,819000000,Y,Corporates
Bond_665,CCC,109.24,3.53,Issuer_B,2034-04-01,EUR,50.25,0.51,1.98,DE,380000000,Y,Corporates
Bond_666,CCC,97.31,2.15,Issuer_B,2034-04-08,EUR,66.08,0.49,3.18,DE,219000000,Y,Corporates
Bond_667,AA,100.06,3.67,Issuer_D,2034-09-14,USD,12.1,0.95,4.17,DE,424000000,Y,Corporates
Bond_668,CCC,92.15,3.05,Issuer_C,2032-10-02,JPY,29.74,0.76,4.05,JP,40000000,Y,Corporates
Bond_669,CCC,90.67,0.42,Issuer_D,2029-03-21,EUR,8.22,0.96,4.57,JP,681000000,N,Governments
Bond_670,AA,98.51,3.05,Issuer_D,2031-01-06,JPY,1.72,0.46,2.6,DE,301000000,N,Corporates
Bond_673,B,105.17,3.56,Issuer_C,2026-04-17,GBP,5.18,0.16,4.21,US,374000000,N,Governments
Bond_675,CCC,93.67,2.04,Issuer_B,2025-04-07,EUR,43.72,0.63,1.35,DE,42000000,Y,Corporates
Bond_676,AAA,103.9,0.62,Issuer_A,2026-10-20,EUR,2.59,0.3,2.33,GB,824000000,N,Governments
Bond_677,BB,101.8,2.04,Issuer_C,2026-07-22,JPY,70.09,0.08,3.27,JP,155000000,N,Governments
Bond_678,CCC,93.47,3.2,Issuer_C,2029-10-09,GBP,37.19,0.34,4.64,DE,582000000,Y,Corporates
Bond_680,AA,90.02,1.6,Issuer_A,2025-05-16,JPY,45.76,0.38,4.06,US,897000000,Y,Corporates
Bond_681,BB,104.81,2.81,Issuer_B,2035-07-14,JPY,58.94,0.23,2.79,JP,431000000,N,Corporates
Bond_682,AAA,96.31,2.04,Issuer_B,2030-02-09,EUR,47.0,0.08,1.74,DE,990000000,N,Corporates
Bond_684,A,108.8,4.02,Issuer_C,2033-02-07,GBP,25.05,0.5,1.96,JP,677000000,Y,Corporates
Bond_685,BBB,94.52,4.19,Issuer_D,2032-04-25,GBP,45.51,0.93,4.69,DE,957000000,Y,Corporates
Bond_686,BB,100.51,1.5,Issuer_B,2029-04-13,EUR,11.49,1.0,1.8,US,805000000,N,Governments
Bond_687,A,107.46,0.66,Issuer_A,2031-10-18,GBP,74.78,0.29,2.71,GB,948000000,Y,Corporates
Bond_688,A,101.0,1.85,Issuer_A,2034-04-12,JPY,90.31,0.91,2.28,US,60000000,N,Corporates
Bond_690,A,105.51,3.51,Issuer_B,2025-07-22,JPY,21.71,0.24,1.63,JP,183000000,Y,Corporates
Bond_691,A,101.2,4.66,Issuer_A,2025-12-24,GBP,24.74,0.26,2.49,DE,519000000,Y,Corporates
Bond_692,AAA,96.13,3.91,Issuer_B,2027-05-17,JPY,19.87,0.84,2.78,DE,340000000,Y,Corporates
Bond_693,A,103.57,0.9,Issuer_C,2027-05-12,JPY,12.05,0.69,2.06,GB,351000000,Y,Corporates
Bond_694,CCC,94.8,4.08,Issuer_B,2032-04-22,GBP,11.11,0.18,4.99,FR,895000000,Y,Corporates
Bond_695,BBB,97.93,2.94,Issuer_A,2035-03-24,GBP,42.07,0.33,1.1,US,44000000,Y,Corporates
Bond_696,BBB,94.19,1.55,Issuer_C,2031-05-12,EUR,12.23,0.46,3.03,JP,704000000,N,Corporates
Bond_698,BB,102.24,3.33,Issuer_B,2029-09-16,JPY,25.15,0.13,2.96,JP,255000000,N,Corporates
Bond_699,CCC,102.43,1.61,Issuer_A,2034-07-11,JPY,90.88,0.67,0.31,FR,44000000,N,Governments
Bond_700,AAA,100.69,0.13,Issuer_C,2029-01-04,GBP,71.64,0.23,0.01,GB,257000000,Y,Corporates
Bond_701,CCC,99.02,3.65,Issuer_B,2025-10-12,EUR,47.84,0.44,1.06,GB,584000000,N,Corporates
Bond_702,BBB,97.4,4.93,Issuer_B,2030-12-08,USD,36.87,0.44,4.27,GB,411000000,Y,Corporates
Bond_703,AA,99.31,3.96,Issuer_C,2030-10-04,GBP,90.34,0.47,1.57,DE,152000000,N,Governments
Bond_705,BBB,100.07,2.13,Issuer_B,2026-10-08,USD,31.34,0.92,4.4,FR,474000000,N,Governments
Bond_706,A,94.76,3.84,Issuer_B,2028-01-11,GBP,94.4,0.32,0.5,JP,67000000,Y,Corporates
Bond_707,BBB,107.99,3.16,Issuer_A,2025-08-21,USD,21.13,0.26,3.18,US,256000000,Y,Corporates
Bond_708,AAA,90.91,1.79,Issuer_D,2034-11-10,USD,90.13,0.94,4.13,US,179000000,N,Corporates
Bond_710,AA,102.14,3.26,Issuer_A,2034-10-02,GBP,76.86,0.37,4.86,FR,512000000,Y,Corporates
Bond_711,AA,96.26,0.98,Issuer_D,2025-05-10,EUR,52.23,0.91,3.15,FR,981000000,N,Governments
Bond_712,B,106.06,1.19,Issuer_A,2035-08-13,JPY,26.09,0.53,2.68,DE,878000000,Y,Corporates
Bond_713,CCC,105.15,4.56,Issuer_C,2032-11-16,GBP,15.89,0.4,0.48,GB,637000000,N,Corporates
Bond_714,CCC,95.66,2.86,Issuer_B,2027-05-10,EUR,98.83,0.75,2.71,DE,755000000,Y,Corporates
Bond_715,BB,102.49,0.14,Issuer_B,2025-03-17,EUR,26.78,0.98,0.46,US,250000000,Y,Corporates
Bond_717,B,94.04,2.25,Issuer_A,2035-03-20,USD,47.84,0.96,4.95,GB,195000000,Y,Corporates
Bond_718,AA,96.13,1.75,Issuer_B,2025-02-07,JPY,53.01,0.85,2.44,FR,507000000,Y,Corporates
Bond_719,AAA,103.63,3.58,Issuer_A,2035-06-15,JPY,93.66,0.19,0.03,US,792000000,N,Corporates
Bond_720,BB,104.97,3.38,Issuer_D,2026-08-26,JPY,4.76,0.25,2.95,FR,269000000,Y,Corporates
Bond_721,BBB,94.27,4.59,Issuer_A,2031-01-06,GBP,83.08,0.24,2.0,JP,66000000,Y,Corporates
Bond_722,AAA,103.91,4.22,Issuer_B,2032-05-16,JPY,45.42,0.06,0.37,GB,797000000,N,Corporates
Bond_723,AAA,91.28,2.8,Issuer_C,2031-03-07,EUR,22.64,0.95,1.32,FR,133000000,Y,Corporates
Bond_724,AAA,96.51,4.21,Issuer_C,2026-05-06,JPY,7.77,0.69,2.12,DE,545000000,Y,Corporates
Bond_725,BBB,95.43,0.07,Issuer_A,2031-12-28,EUR,41.53,0.56,1.55,DE,716000000,Y,Corporates
Bond_726,BB,103.77,0.66,Issuer_D,2034-11-27,USD,26.06,0.61,4.24,FR,648000000,Y,Corporates
Bond_728,BBB,94.25,4.48,Issuer_B,2027-10-20,USD,43.43,0.47,4.52,FR,212000000,Y,Corporates
Bond_729,BB,109.98,1.35,Issuer_D,2032-11-15,USD,50.89,0.99,1.94,FR,760000000,Y,Corporates
Bond_730,B,90.14,4.29,Issuer_B,2035-06-18,EUR,30.44,0.15,4.14,FR,132000000,Y,Corporates
Bond_731,B,91.04,2.99,Issuer_B,2025-11-08,USD,21.54,0.33,1.41,FR,742000000,Y,Corporates
Bond_732,CCC,103.88,1.05,Issuer_A,2032-12-22,JPY,95.85,0.07,4.57,FR,591000000,N,Governments
Bond_733,B,97.63,2.31,Issuer_A,2025-05-20,GBP,17.37,0.97,2.07,JP,247000000,N,Governments
Bond_734,AAA,98.99,3.82,Issuer_B,2032-11-13,EUR,92.59,0.74,2.51,US,511000000,Y,Corporates
Bond_735,AAA,94.14,1.28,Issuer_C,2027-08-25,USD,95.51,0.09,2.02,GB,85000000,N,Corporates
Bond_736,B,99.7,0.99,Issuer_B,2031-02-11,EUR,22.84,0.35,4.63,JP,782000000,Y,Corporates
Bond_737,CCC,100.15,3.88,Issuer_D,2034-12-24,EUR,53.55,0.13,2.15,US,981000000,Y,Corporates
Bond_738,B,97.27,4.3,Issuer_A,2033-08-28,USD,77.77,0.8,0.8,JP,832000000,N,Governments
Bond_739,BBB,105.19,4.23,Issuer_A,2035-12-18,EUR,36.32,0.37,4.55,FR,955000000,N,Governments
Bond_740,B,107.32,0.08,Issuer_B,2034-02-15,JPY,31.39,0.3,1.85,FR,303000000,Y,Corporates
Bond_741,AA,101.79,4.36,Issuer_B,2029-10-27,USD,78.41,0.97,0.27,JP,349000000,N,Corporates
Bond_742,A,94.16,1.02,Issuer_B,2028-10-04,USD,29.41,0.51,1.88,FR,32000000,Y,Corporates
Bond_743,BB,94.87,2.63,Issuer_A,2027-02-21,EUR,67.8,0.31,2.85,US,155000000,Y,Corporates
Bond_744,CCC,106.94,4.07,Issuer_A,2034-01-07,EUR,68.25,0.08,1.11,DE,932000000,N,Corporates
Bond_745,A,108.77,0.77,Issuer_C,2033-11-16,GBP,2.9,0.24,4.17,FR,651000000,Y,Corporates
Bond_746,A,91.55,4.49,Issuer_C,2025-09-09,JPY,1.27,0.12,4.43,GB,707000000,N,Corporates
Bond_749,CCC,90.36,4.21,Issuer_A,2034-01-12,EUR,60.0,0.4,1.26,US,811000000,Y,Corporates
Bond_751,B,98.39,0.26,Issuer_B,2026-06-12,USD,95.31,0.77,2.11,DE,320000000,N,Corporates
Bond_752,AAA,105.31,1.33,Issuer_C,2025-12-27,GBP,71.7,0.06,2.18,JP,442000000,Y,Corporates
Bond_753,B,95.9,0.27,Issuer_A,2028-11-28,JPY,34.69,0.6,0.54,DE,993000000,N,Governments
Bond_754,B,94.33,3.71,Issuer_B,2031-10-17,USD,98.19,0.56,4.22,DE,113000000,N,Governments
Bond_755,CCC,105.65,1.99,Issuer_B,2026-10-02,EUR,94.86,0.99,0.2,JP,461000000,Y,Corporates
Bond_756,AAA,98.05,4.3,Issuer_C,2028-12-01,USD,93.52,0.89,3.98,US,855000000,N,Corporates
Bond_757,CCC,103.03,0.62,Issuer_C,2029-12-12,USD,73.83,0.7,2.78,FR,804000000,N,Governments
Bond_759,B,94.0,4.97,Issuer_B,2032-09-27,JPY,19.98,0.24,1.8,FR,183000000,Y,Corporates
Bond_760,A,93.42,1.51,Issuer_A,2026-10-25,EUR,47.81,0.42,3.41,GB,162000000,N,Governments
Bond_761,B,91.26,3.08,Issuer_B,2035-12-19,EUR,16.66,0.35,4.44,GB,41000000,Y,Corporates
Bond_762,B,107.96,0.16,Issuer_C,2029-02-28,USD,90.82,0.23,4.26,DE,924000000,N,Corporates
Bond_763,CCC,99.25,0.12,Issuer_D,2027-11-14,GBP,77.69,0.15,0.18,GB,468000000,Y,Corporates
Bond_764,A,92.31,4.13,Issuer_C,2030-04-14,GBP,52.12,0.19,3.77,JP,438000000,Y,Corporates
Bond_765,B,101.72,4.23,Issuer_B,2025-02-02,JPY,47.55,0.74,3.15,FR,737000000,Y,Corporates
Bond_766,B,100.12,0.1,Issuer_D,2026-09-26,USD,34.87,0.19,2.95,DE,437000000,Y,Corporates
Bond_767,A,99.68,4.42,Issuer_C,2032-10-07,JPY,14.78,0.92,0.65,GB,779000000,Y,Corporates
Bond_768,BBB,103.03,0.3,Issuer_B,2028-07-08,GBP,44.05,0.71,1.27,GB,734000000,N,Corporates
Bond_769,AA,91.44,3.77,Issuer_A,2035-07-07,USD,91.73,0.06,2.46,DE,144000000,Y,Corporates
Bond_770,B,99.78,3.12,Issuer_B,2032-07-16,JPY,62.75,0.78,0.89,DE,386000000,N,Governments
Bond_771,B,108.42,3.27,Issuer_B,2034-02-15,JPY,0.77,0.0,2.08,FR,163000000,N,Corporates
Bond_772,BBB,102.12,4.01,Issuer_A,2032-11-03,JPY,82.2,0.51,2.99,DE,824000000,Y,Corporates
Bond_773,AA,104.63,2.88,Issuer_A,2033-12-13,GBP,35.72,0.24,1.66,US,612000000,Y,Corporates
Bond_774,B,93.44,3.99,Issuer_D,2034-09-17,EUR,40.66,0.35,2.69,US,510000000,Y,Corporates
Bond_775,AA,105.11,0.59,Issuer_A,2026-01-10,EUR,25.49,0.67,4.75,DE,916000000,N,Governments
Bond_777,AAA,93.18,2.37,Issuer_C,2034-04-23,GBP,45.57,0.94,1.1,US,399000000,N,Corporates
Bond_779,BB,91.85,4.24,Issuer_B,2027-10-21,EUR,21.93,0.03,4.12,JP,778000000,N,Corporates
Bond_780,BB,95.24,2.67,Issuer_B,2031-08-28,GBP,24.84,0.73,0.77,GB,864000000,Y,Corporates
Bond_781,CCC,106.58,4.84,Issuer_D,2027-09-23,USD,70.91,0.89,3.79,FR,462000000,Y,Corporates
Bond_782,AA,95.07,0.25,Issuer_B,2029-03-01,JPY,99.91,0.36,3.85,JP,790000000,Y,Corporates
Bond_783,B,106.07,2.72,Issuer_A,2029-06-03,GBP,45.56,0.37,2.1,FR,334000000,N,Corporates
Bond_784,BB,90.62,4.42,Issuer_D,2026-02-18,GBP,71.35,0.88,3.27,DE,378000000,Y,Corporates
Bond_785,BBB,102.53,1.77,Issuer_D,2035-03-24,JPY,82.24,0.2,0.1,DE,939000000,Y,Corporates
Bond_786,A,109.64,4.36,Issuer_D,2029-10-03,JPY,32.72,0.28,2.72,DE,260000000,N,Governments
Bond_787,AA,107.34,0.42,Issuer_C,2034-10-14,GBP,35.62,0.46,3.87,US,376000000,Y,Corporates
Bond_788,AAA,107.4,3.04,Issuer_C,2028-09-27,JPY,26.03,0.58,3.97,US,439000000,N,Governments
Bond_789,CCC,106.16,3.11,Issuer_D,2029-08-16,JPY,61.8,0.28,4.98,GB,585000000,N,Governments
Bond_791,B,104.61,1.69,Issuer_A,2033-11-05,JPY,87.45,0.36,3.0,US,336000000,N,Governments
Bond_792,BBB,107.02,4.71,Issuer_B,2027-04-14,JPY,12.59,0.49,1.89,GB,420000000,N,Governments
Bond_793,BB,91.76,2.37,Issuer_D,2027-07-05,GBP,23.65,0.14,1.42,FR,537000000,Y,Corporates
Bond_794,A,99.75,0.72,Issuer_A,2026-02-11,JPY,65.39,0.91,3.88,DE,620000000,N,Governments
Bond_795,BBB,97.54,2.39,Issuer_C,2027-11-06,EUR,13.11,0.72,4.54,US,872000000,N,Corporates
Bond_796,B,104.86,1.13,Issuer_B,2030-12-26,GBP,12.53,0.18,1.44,DE,49000000,Y,Corporates
Bond_797,BB,99.07,4.79,Issuer_B,2028-10-16,JPY,21.36,0.84,0.2,JP,883000000,Y,Corporates
Bond_798,AA,98.09,0.66,Issuer_D,2031-08-21,USD,76.39,0.23,1.01,JP,111000000,Y,Corporates
Bond_799,BBB,99.04,1.12,Issuer_D,2026-01-07,JPY,88.37,0.7,4.61,JP,466000000,N,Governments
Bond_800,AAA,96.66,3.4,Issuer_D,2030-05-02,JPY,88.58,0.7,4.53,JP,917000000,Y,Corporates
Bond_801,BBB,104.52,3.28,Issuer_A,2035-04-21,GBP,90.54,0.85,3.36,GB,396000000,N,Corporates
Bond_804,CCC,98.73,0.32,Issuer_B,2033-11-15,USD,13.65,0.9,0.67,JP,429000000,Y,Corporates
Bond_805,B,91.26,4.65,Issuer_B,2031-02-25,EUR,50.59,0.01,4.84,US,732000000,N,Governments
Bond_806,BB,107.63,1.42,Issuer_C,2026-05-03,USD,87.39,0.36,3.07,DE,258000000,N,Governments
Bond_807,AAA,99.19,0.07,Issuer_B,2033-02-16,GBP,76.71,0.04,2.86,JP,409000000,Y,Corporates
Bond_808,A,92.55,1.17,Issuer_A,2033-02-21,JPY,90.25,0.83,0.96,DE,263000000,Y,Corporates
Bond_809,BBB,92.63,1.05,Issuer_D,2034-10-17,EUR,48.38,0.03,2.01,US,764000000,Y,Corporates
Bond_810,AAA,107.64,3.1,Issuer_B,2026-02-06,GBP,40.7,0.5,0.26,US,298000000,Y,Corporates
Bond_811,A,95.79,3.46,Issuer_C,2033-02-09,EUR,35.67,0.27,4.97,FR,915000000,N,Governments
